identifier,price,timestamp
escape-city-disc-1-2024,899,1756629993731
roam-disc-2-2024,899,1756629996216
roam-2,999,1756629998425
fastroad-sl-3-2022,999,1756630000744
fastroad-ar-2,1199,1756630002985
sdrbike-escape-1-city-disc,899,1756630006297
thrive-2,1199,1756630008834
rove-2,799,1756630011037
allure-rs-1-2023,1199,1756630013015
allure-rs-2-2022,799,1756630015558
allure-rs-2-2023,949,1756630017777
allure-rs-2-2024,799,1756630019592
devote-1-2024,1399,1756630021746
devote-1-2022,1699,1756630023623
silex-400-oak-bork-2026,1599,1756630027643
silex-400-warm-slate-grey-2026,1599,1756630031206
escape-city-disc-1-2024,899,1756645359536
roam-disc-2-2024,899,1756645361730
roam-2,999,1756645363909
fastroad-sl-3-2022,999,1756645366091
fastroad-ar-2,1199,1756645368060
sdrbike-escape-1-city-disc,899,1756645371062
thrive-2,1199,1756645373619
rove-2,799,1756645375732
allure-rs-1-2023,1199,1756645377761
allure-rs-2-2022,799,1756645380004
allure-rs-2-2023,949,1756645382064
allure-rs-2-2024,799,1756645383890
devote-1-2024,1399,1756645385764
devote-1-2022,1699,1756645387540
silex-400-oak-bork-2026,1599,1756645392798
silex-400-warm-slate-grey-2026,1599,1756645396436
escape-city-disc-1-2024,899,1756658846543
roam-disc-2-2024,899,1756658848144
roam-2,999,1756658849563
fastroad-sl-3-2022,999,1756658850931
fastroad-ar-2,1199,1756658852609
sdrbike-escape-1-city-disc,899,1756658855465
thrive-2,1199,1756658857503
rove-2,799,1756658858870
allure-rs-1-2023,1199,1756658860272
allure-rs-2-2022,799,1756658862153
allure-rs-2-2023,949,1756658863717
allure-rs-2-2024,799,1756658865091
devote-1-2024,1399,1756658866744
devote-1-2022,1699,1756658868418
silex-400-oak-bork-2026,1599,1756658871541
silex-400-warm-slate-grey-2026,1599,1756658874862
escape-city-disc-1-2024,899,1756673088210
roam-disc-2-2024,899,1756673089777
roam-2,999,1756673091414
fastroad-sl-3-2022,999,1756673093045
fastroad-ar-2,1199,1756673094923
sdrbike-escape-1-city-disc,899,1756673097244
thrive-2,1199,1756673099114
rove-2,799,1756673100600
allure-rs-1-2023,1199,1756673102348
allure-rs-2-2022,799,1756673104310
allure-rs-2-2023,949,1756673106013
allure-rs-2-2024,799,1756673107390
devote-1-2024,1399,1756673109100
devote-1-2022,1699,1756673110920
silex-400-oak-bork-2026,1599,1756673114273
silex-400-warm-slate-grey-2026,1599,1756673117388
escape-city-disc-1-2024,899,1756702266609
roam-disc-2-2024,899,1756702268495
roam-2,999,1756702270502
fastroad-sl-3-2022,999,1756702272081
fastroad-ar-2,1199,1756702273496
sdrbike-escape-1-city-disc,899,1756702276620
thrive-2,1199,1756702278640
rove-2,799,1756702280398
allure-rs-1-2023,1199,1756702282241
allure-rs-2-2022,799,1756702284236
allure-rs-2-2023,949,1756702285910
allure-rs-2-2024,799,1756702287323
devote-1-2024,1399,1756702289307
devote-1-2022,1699,1756702291143
silex-400-oak-bork-2026,1599,1756702294969
silex-400-warm-slate-grey-2026,1599,1756702298015
escape-city-disc-1-2024,899,1756716790174
roam-disc-2-2024,899,1756716792420
roam-2,999,1756716794153
fastroad-sl-3-2022,999,1756716796247
fastroad-ar-2,1199,1756716797774
sdrbike-escape-1-city-disc,899,1756716799981
thrive-2,1199,1756716802228
rove-2,799,1756716803914
allure-rs-1-2023,1199,1756716805605
allure-rs-2-2022,799,1756716807586
allure-rs-2-2023,949,1756716809324
allure-rs-2-2024,799,1756716810664
devote-1-2024,1399,1756716812700
devote-1-2022,1699,1756716814443
silex-400-oak-bork-2026,1599,1756716817921
silex-400-warm-slate-grey-2026,1599,1756716821291
escape-city-disc-1-2024,899,1756732119980
roam-disc-2-2024,899,1756732122519
roam-2,999,1756732124523
fastroad-sl-3-2022,999,1756732126691
fastroad-ar-2,1199,1756732129076
sdrbike-escape-1-city-disc,899,1756732131749
thrive-2,1199,1756732133903
rove-2,799,1756732135999
allure-rs-1-2023,1199,1756732137875
allure-rs-2-2022,799,1756732139984
allure-rs-2-2023,949,1756732141973
allure-rs-2-2024,799,1756732143963
devote-1-2024,1399,1756732146151
devote-1-2022,1699,1756732148321
silex-400-oak-bork-2026,1599,1756732151993
silex-400-warm-slate-grey-2026,1599,1756732155313
escape-city-disc-1-2024,899,1756745352983
roam-disc-2-2024,899,1756745355214
roam-2,999,1756745357191
fastroad-sl-3-2022,999,1756745359218
fastroad-ar-2,1199,1756745361223
sdrbike-escape-1-city-disc,899,1756745364196
thrive-2,1199,1756745366585
rove-2,799,1756745368794
allure-rs-1-2023,1199,1756745370817
allure-rs-2-2022,799,1756745373472
allure-rs-2-2023,949,1756745375468
allure-rs-2-2024,799,1756745377236
devote-1-2024,1399,1756745379240
devote-1-2022,1699,1756745381119
